target;source;weight
Aeugst am Albis;Aeugst am Albis;147
Aeugst am Albis;Affoltern am Albis;106
Aeugst am Albis;Bonstetten;5
Aeugst am Albis;Hausen am Albis;7
Aeugst am Albis;Hedingen;8
Aeugst am Albis;Mettmenstetten;8
Aeugst am Albis;Stallikon;14
Aeugst am Albis;Wettswil am Albis;6
Aeugst am Albis;Kloten;10
Aeugst am Albis;Opfikon;9
Aeugst am Albis;Regensdorf;5
Aeugst am Albis;Adliswil;19
Aeugst am Albis;Horgen;9
Aeugst am Albis;Kilchberg (ZH);9
Aeugst am Albis;Rüschlikon;6
Aeugst am Albis;Thalwil;9
Aeugst am Albis;Wädenswil;5
Aeugst am Albis;Dübendorf;6
Aeugst am Albis;Birmensdorf (ZH);6
Aeugst am Albis;Dietikon;9
Aeugst am Albis;Schlieren;11
Aeugst am Albis;Uitikon;8
Aeugst am Albis;Urdorf;11
Aeugst am Albis;Zürich;352
Aeugst am Albis;Andere Gemeinden;38
Aeugst am Albis;Andere Gemeinden;6
Aeugst am Albis;Luzern;9
Aeugst am Albis;Andere Gemeinden;14
Aeugst am Albis;Andere Gemeinden;8
Aeugst am Albis;Baar;46
Aeugst am Albis;Cham;7
Aeugst am Albis;Risch;7
Aeugst am Albis;Steinhausen;22
Aeugst am Albis;Zug;48
Aeugst am Albis;Andere Gemeinden;5
Aeugst am Albis;Andere Gemeinden;34
Aeugst am Albis;Andere Gemeinden;11
Affoltern am Albis;Aeugst am Albis;66
Affoltern am Albis;Affoltern am Albis;1972
Affoltern am Albis;Bonstetten;31
Affoltern am Albis;Hausen am Albis;29
Affoltern am Albis;Hedingen;166
Affoltern am Albis;Kappel am Albis;9
Affoltern am Albis;Knonau;18
Affoltern am Albis;Mettmenstetten;151
Affoltern am Albis;Obfelden;58
Affoltern am Albis;Ottenbach;48
Affoltern am Albis;Rifferswil;6
Affoltern am Albis;Stallikon;19
Affoltern am Albis;Wettswil am Albis;43
Affoltern am Albis;Bassersdorf;8
Affoltern am Albis;Dietlikon;9
Affoltern am Albis;Kloten;40
Affoltern am Albis;Opfikon;25
Affoltern am Albis;Wallisellen;30
Affoltern am Albis;Buchs (ZH);6
Affoltern am Albis;Regensdorf;18
Affoltern am Albis;Rümlang;10
Affoltern am Albis;Adliswil;68
Affoltern am Albis;Horgen;19
Affoltern am Albis;Kilchberg (ZH);24
Affoltern am Albis;Langnau am Albis;11
Affoltern am Albis;Oberrieden;7
Affoltern am Albis;Richterswil;13
Affoltern am Albis;Rüschlikon;6
Affoltern am Albis;Thalwil;14
Affoltern am Albis;Wädenswil;21
Affoltern am Albis;Küsnacht (ZH);9
Affoltern am Albis;Meilen;6
Affoltern am Albis;Zollikon;7
Affoltern am Albis;Fehraltorf;6
Affoltern am Albis;Dübendorf;28
Affoltern am Albis;Uster;9
Affoltern am Albis;Volketswil;13
Affoltern am Albis;Wangen-Brüttisellen;9
Affoltern am Albis;Winterthur;10
Affoltern am Albis;Birmensdorf (ZH);25
Affoltern am Albis;Dietikon;64
Affoltern am Albis;Geroldswil;9
Affoltern am Albis;Schlieren;130
Affoltern am Albis;Uitikon;13
Affoltern am Albis;Urdorf;36
Affoltern am Albis;Zürich;1391
Affoltern am Albis;Andere Gemeinden;70
Affoltern am Albis;Bern;17
Affoltern am Albis;Andere Gemeinden;5
Affoltern am Albis;Emmen;13
Affoltern am Albis;Hochdorf;5
Affoltern am Albis;Rothenburg;5
Affoltern am Albis;Buchrain;6
Affoltern am Albis;Ebikon;12
Affoltern am Albis;Kriens;11
Affoltern am Albis;Luzern;44
Affoltern am Albis;Root;15
Affoltern am Albis;Andere Gemeinden;29
Affoltern am Albis;Freienbach;13
Affoltern am Albis;Küssnacht (SZ);7
Affoltern am Albis;Schwyz;11
Affoltern am Albis;Andere Gemeinden;12
Affoltern am Albis;Baar;152
Affoltern am Albis;Cham;83
Affoltern am Albis;Hünenberg;30
Affoltern am Albis;Menzingen;8
